name,FGA,FGM,FT%,3PT%,PTS,REB,AST,ST,BLK,TO
Isaac Bonga,234,118,0.812,0.352,330,222,76,45,22,58
Rodions Kurucs,177,79,0.632,0.367,215,137,51,25,5,46
Jarred Vanderbilt,8,5,1,0,12,9,2,3,1,7
Bruce Brown,447,198,0.739,0.344,517,274,230,63,29,100
Hamidou Diallo,296,132,0.603,0.281,318,167,36,37,9,51
De'Anthony Melton,401,161,0.769,0.286,455,220,175,77,20,84
Svi Mykhailiuk,405,166,0.814,0.404,504,104,106,41,4,61
Keita Bates-Diop,234,100,0.72,0.33,288,127,30,19,24,17
Chimezie Metu,42,24,0.769,0,58,33,10,3,6,10
Shake Milton,277,134,0.785,0.43,377,88,104,20,7,47
Kostas Antetokounmpo,3,3,0.5,0,7,3,2,0,0,1
Kenrich Williams,147,51,0.346,0.258,136,186,57,27,21,22
Theo Pinson,155,45,0.938,0.188,120,54,56,17,4,33
Wenyen Gabriel,48,21,0.682,0.3,63,52,8,11,7,16
Norvel Pelle,48,25,0.5,0,57,72,8,3,31,18
Brandon Goodwin,190,76,0.933,0.299,206,72,51,12,4,29
Drew Eubanks,67,43,0.769,1,107,85,15,5,17,21
Chris Chiozza,140,55,1,0.375,142,53,83,21,4,32
Gary Clark,133,54,0.9,0.351,156,110,17,6,22,10
Yuta Watanabe,34,15,0.375,0.375,36,20,5,5,1,2
Jordan McLaughlin,178,87,0.667,0.382,229,49,125,34,4,31
Paul Watson,26,10,0.778,0.333,31,17,8,4,1,3
Jarrett Culver,569,230,0.462,0.299,580,212,110,57,38,81
Jaxson Hayes,259,174,0.647,0.25,472,259,56,26,55,53
Rui Hachimura,545,254,0.829,0.287,649,294,87,37,8,53
Cameron Johnson,405,176,0.807,0.39,504,187,69,36,20,32
Romeo Langford,80,28,0.72,0.185,79,41,13,8,8,11
Sekou Doumbouya,236,92,0.674,0.286,243,118,19,20,8,35
Chuma Okeke,0,0,0,0,0,0,0,0,0,0
Nickeil Alexander-Walker,266,98,0.676,0.346,267,84,89,17,8,54
Goga Bitadze,150,70,0.727,0.19,172,106,23,10,37,28
Luka Samanic,16,5,0.75,0.375,16,10,6,0,2,2
Matisse Thybulle,265,112,0.61,0.357,305,107,79,93,47,51
Grant Williams,211,87,0.722,0.25,237,178,68,30,36,50
Ty Jerome,113,38,0.75,0.28,102,46,44,15,3,18
Nassir Little,151,65,0.636,0.237,172,108,22,13,14,15
Dylan Windler,0,0,0,0,0,0,0,0,0,0
Mfiondu Kabengele,32,14,1,0.45,42,11,2,2,2,2
Jordan Poole,502,167,0.798,0.279,503,118,134,35,10,74
Kevin Porter Jr.,421,186,0.723,0.335,498,162,109,46,14,93
Nicolas Claxton,48,27,0.524,0.143,66,44,16,1,8,9
KZ Okpala,5,3,0.5,0,7,5,1,2,1,1
